true_journal,test_samples,top_1_accuracy,top_5_hit_rate,median_true_rank
JOURNAL OF ORGANIZATIONAL AND END USER COMPUTING,7,0.0,0.1429,11.0
IEICE TRANSACTIONS ON INFORMATION AND SYSTEMS,15,0.1333,0.1333,14.0
JOURNAL OF INFORMATION SCIENCE AND ENGINEERING,15,0.0667,0.1333,52.0
JOURNAL OF SUPERCOMPUTING,15,0.0667,0.1333,14.0
NEW GENERATION COMPUTING,15,0.0667,0.1333,38.0
CHINA COMMUNICATIONS,9,0.0,0.1111,20.0
COMPUTER SCIENCE AND INFORMATION SYSTEMS,9,0.0,0.1111,41.0
INTERNATIONAL ARAB JOURNAL OF INFORMATION TECHNOLOGY,9,0.0,0.1111,34.0
KSII TRANSACTIONS ON INTERNET AND INFORMATION SYSTEMS,9,0.0,0.1111,41.0
EURASIP JOURNAL ON WIRELESS COMMUNICATIONS AND NETWORKING,10,0.0,0.1,28.0
INFORMATION TECHNOLOGY AND CONTROL,10,0.0,0.1,73.5
JOURNAL OF NETWORK AND SYSTEMS MANAGEMENT,10,0.0,0.1,30.5
ARTIFICIAL INTELLIGENCE REVIEW,11,0.0,0.0909,58.0
JOURNAL OF NETWORK AND COMPUTER APPLICATIONS,11,0.0,0.0909,15.0
COMPUTER JOURNAL,15,0.0,0.0667,77.0
INTEGRATED COMPUTER-AIDED ENGINEERING,15,0.0,0.0667,15.0
JOURNAL OF COMMUNICATIONS AND NETWORKS,15,0.0,0.0667,23.0
JOURNAL OF COMPUTER SCIENCE AND TECHNOLOGY,15,0.0,0.0667,69.0
WORLD WIDE WEB-INTERNET AND WEB INFORMATION SYSTEMS,12,0.0,0.0,35.0
COGNITIVE COMPUTATION,8,0.0,0.0,36.5
INTERNATIONAL JOURNAL OF COMPUTATIONAL INTELLIGENCE SYSTEMS,8,0.0,0.0,24.0
ACM TRANSACTIONS ON INTELLIGENT SYSTEMS AND TECHNOLOGY,7,0.0,0.0,36.0
ANNALS OF TELECOMMUNICATIONS,6,0.0,0.0,71.5
ANNALS OF TELECOMMUNICATIONS-ANNALES DES TELECOMMUNICATIONS,5,0.0,0.0,172.0
TSINGHUA SCIENCE AND TECHNOLOGY,5,0.0,0.0,60.0
